Genre,Title,Artist
Rap,Sunshine,$uicideBoy$
Rap,Runnin ,21 Savage
Rap,Runnin,"21 Savage, Metro Boomin"
Pop,Mood,24kGoldn
Rap,Look Back at It,A Boogie Wit da Hoodie
Rap,Me and My Guitar,A Boogie Wit da Hoodie
Rap,Pull Up ,"A Boogie Wit da Hoodie, NAV"
Musical Theatre,One,A Chorus Line
Musical Theatre,Send In the Clowns,A Little Night Music
Rap,Plain Jane ,A$AP Ferg
Rap,Floor Seats,A$AP Ferg
Rap,New Levels,"A$AP Ferg, Future"
Rap,Babuska Boi,A$AP Rocky
Rock,You Shook Me All Night Long,AC/DC
Rock,Highway to Hell,AC/DC
Rock,Back in Black ,AC/DC
Indie,Sarah,Alex G
Rock,School's Out,Alice Cooper
Emo,It Ends Tonight,All-American Rejects
Indie,"Archie, Marry Me",Alvvays
Indie,Dreams Tonite,Alvvays
Emo,Breathe,Anna Nalick
Indie,505,Arctic Monkeys
Indie,Fluorescent Adolescence,Arctic Monkeys
Pop,Positions,Ariana Grande
Pop,34+35,Ariana Grande
Pop,Stuck with U,Ariana Grande
Pop,motive ,Ariana Grande
Pop,Kings & Queens,Ava Max
Emo,Losing Grip,Avril Lavigne
Emo,I'm with You,Avril Lavigne
Musical Theatre,Fifty Percent,Ballroom
Pop,Someone To You,BANNERS
Indie,Coffee,beabadoobee
Indie,She Plays Bass,beabadoobee
Indie,Care,beabadoobee
Indie,Worth It,beabadoobee
Indie,Dye It Red,beabadoobee
Indie,Charlie Brown,beabadoobee
Indie,Space Song,Beach House
Rap,Wolves,"Big Sean, Post Malone"
Pop,Therefore I Am,Billie Eilish
Pop,bad guy,Billie Eilish
Pop,everything i wanted,Billie Eilish
Pop,when the party's over,Billie Eilish
Rock,Paranoid,Black Sabbath
Indie,Skinny Love,Bon Iver
Pop,Electric Love,BORNS
Indie,Everytime,Boy Pablo
Indie,"Dance, Baby!",Boy Pablo
Indie,First Day Of My Life,Bright Eyes
Rock,Born to Run,Bruce Springsteen
Indie,Cigarette Daydreams,Cage The Elephant
Indie,Trouble,Cage The Elephant
Pop,Over Now,Calvin Harris
Indie,Can't Cool Me Down,Car Seat Headrest
Indie,This Is Home,Cavetown
Indie,Devil Town,Cavetown
Indie,Boys Will Be Bugs,Cavetown
Indie,Fool,Cavetown
Indie,Lemon Boy,Cavetown
Musical Theatre,Anthem,Chess
Musical Theatre,Cell Block Tango,Chicago
Pop,Go Crazy,Chris Brown
Rap,Go Crazy,"Chris brown, Young Thug"
Indie,Bags,Clairo
Indie,Pretty Girl,Clairo
Indie,Flaming Hot Cheetos,Clairo
Indie,4EVER,Clairo
Indie,Sofia,Clairo
Rock,Viva La Vida,Coldplay
Emo,The Scientist,Coldplay
Musical Theatre,Being Alive,Company
Pop,Heather,Conan Gray
Musical Theatre,Crazy World,Crazy World
Rap,VIBEZ,DaBaby
Rap,ROCKSTAR,"DaBaby, Roddy Ricch"
Jazz,Take Five,Dave Brubeck
Rock,Smoke on the Water,Deep Purple
Rap,Panda,Desiigner
Rock,Money For Nothing,Dire Straits
Pop,Be Happy,Dixie D'Amelio
Rap,POPSTAR,"DJ Khaled, Drake"
Pop,Like That,Doja Cat
Pop,Say So,Doja Cat
Pop,Del Mar,Doja Cat
Pop,Boss Bitch,Doja Cat
Pop,Juicy,Doja Cat
Pop,Like That,Doja Cat
Rap,Gyalchester,Drake
Rap,Free Smoke,Drake
Rap,Feel No Ways,Drake
Rap,Childs Play,Drake
Rap,God's Plan,Drake
Rap,In My Feelings,Drake
Rap,6 God,Drake 
Rap,KMT,"Drake, Giggs"
Rap,Laugh Now Cry Later,"Drake, Lil Durk"
Rap,Pop Style,"Drake, The Throne"
Rap,To The Top,"Drywater, I.M."
Pop,Levitating,Dua Lipa
Pop,Don't Start Now,Dua Lipa
Jazz,Round Midnight,Duke Ellington
Rock,Life in the Fast Lane,Eagles
Rock,Hotel California,Eagles
Pop,Afterglow,Ed Sheeran
Rap,Godzilla,Eminem
Rap,Godzilla,"Eminem, Juice WRLD"
Rock,The Final Countdown,Europe
Emo,Call Me When You're Sober,Evanescene
Emo,Bring Me to Life,Evanescene
Emo,Thnks fr th Mmrs,Fall Out Boy
Rock,The Chain,Fleetwood Mac
Rock,Dreams,Fleetwood Mac
Indie,Take Me Out,Franz Ferdinand
Rap,Commas,Future
Rap,Life Is Good,"Future, Drake"
Rap,Stripes Like Burberry,"Future, Lil Uzi Vert"
Indie,we fell in love in october,girl in red
Indie,bad idea!,girl in red
Indie,rue,girl in red
Indie,Gooey,Glass Animals
Indie,Heat Waves,Glass Animals
Rock,Truckin',Grateful Dead
Rock,Basket Case,Green Day
Rock,Welcome to Paradise,Green Day
Rock,"Fire, Ready, Aim",Green Day
Emo,Wake Me Up When September Ends,Green Day
Emo,Boulevard of Broken Dreams,Green Day
Indie,Oblivion,Grimes
Indie,Kill V. Maim,Grimes
Indie,Delete Forever,Grimes
Rap,Both,"Gucci Mane, Drake"
Rap,DOLLAZ ON MY HEAD,Gunna
Rap,Relentless,"Gunna, Lil Uzi Vert"
Indie,"Prune, You Talk Funny",Gus Dapperton
Pop,Let Me Reintroduce Myself,Gwen Stefani
Musical Theatre,Rose's Turn,Gypsy
Musical Theatre,Wait For It,Hamilton
Pop,Watermelon Sugar,Harry Styles
Pop,Golden,Harry Styles
Pop,Adore You,Harry Styles
Pop,Lights Up,Harry Styles
Pop,Cherry,Harry Styles
Pop,Falling,Harry Styles
Pop,To Be So Lonely,Harry Styles
Pop,She,Harry Styles
Pop,Sunflower Vol.6,Harry Styles
Pop,Canyon Moon,Harry Styles
Pop,Treat People With Kindness,Harry Styles
Pop,Fine Line,Harry Styles
Rock,Barracuda,Heart
Indie,Buttercup,Hippo Campus
Rap,prada u,hoodienewt
Rap,Die a King,iamjakehill
Rap,By the Sword,iamjakehill
Rock,Run to the Hills,Iron Maiden
Indie,Buttercup,Jack Stauber
Indie,Oh Klahoma,Jack Stauber
Rock,Lights Come On,Jason Aldean
Pop,Take You Dancing,Jason Derulo
Musical Theatre,This Is the Moment,Jekyll and Hyde
Musical Theatre,Gethsemane,Jesus Christ Superstar
Rock,Are You Gonna Be My Girl,Jet
Pop,Sativa,Jhene Aiko
Pop,While We're Young,Jhene Aiko
Jazz,A Love Supreme,John Coltrane
Jazz,All Blues,John Coltrane
Pop,Your Man,Joji
Pop,Daylight,Joji
Musical Theatre,Any Dream Will Do,Joseph and the Amazing Technicolor Dreamcoat
Pop,Anyone,Justin Bieber
Pop,Holy,Justin Bieber
Pop,Lonely,Justin Bieber
Pop,Be Like That,"Kane Brown, Swae Lee, Khalid"
Rap,POWER,Kanye West
Rap,Took Her To The O,King Von
Rap,Because Of You,Kodak Black
Musical Theatre,I Am What I Am,La Cage Aus Folles
Pop,Still Don't Know My Name,Labrinth
Pop,911,Lady Gaga
Pop,Rain On Me,"Lady Gaga, Ariana Grande"
Indie,Deceptacon,Le Tigre
Rock,Whole Lotta Love,Led Zeppelin
Rock,Ramble On,Led Zeppelin
Rock,Black Dog,Led Zeppelin
Musical Theatre,Bring Him Home,Les Miserables
Musical Theatre,One Day More,Les Miserables
Musical Theatre,I Dreamed A Dream,Les Miserables
Musical Theatre,Do You Hear The People Sing?,Les Miserables
Musical Theatre,On My Own,Les Miserables
Pop,Before You Go,Lewis Capaldi
Rap,Woah,Lil Baby
Rap,The Bigger Picture,Lil Baby
Rap,Emotionally Scarred,Lil Baby
Rap,We Paid,"Lil Baby, 42 Dugg"
Rap,Yes Indeed,"Lil Baby, Drake"
Rap,Judge Me,Lil Chris
Rap,Show It,Lil Chris
Rap,Letter To Tracy,Lil Eazzyy
Rap,Rodeo,"Lil Nas X, Cardi B"
Rap,Boss,Lil Pump
Rap,Ready,"Lil Skid, Chuki Beats"
Rap,Ps & Qs,Lil Uzi Vert
Rap,Baby Sasuke,Lil Uzi Vert
Rap,SideLine Watching,Lil Uzi Vert
Rap,Sauce It Up,Lil Uzi Vert
Rap,Homecoming,Lil Uzi Vert
Rap,Silly Watch,Lil Uzi Vert
Rap,Banned from TV,Lil Uzi Vert
Rap,Futsal Shuffle 2020,Lil Uzi Vert
Rap,Money Longer,Lil Uzi Vert
Emo,In the End,Linkin Park
Musical Theatre,Suddenly Seymour,Little Shop Of Horrors
Rap,Keanu Reeves,Logic
Rap,Ballin,Logic
Rap,Ballin,Logic
Indie,The Night We Met,Lord Huron
Indie,My Kind of Woman,Mac DeMarco
Indie,Salad Days,Mac DeMarco
Indie,Freaking Out the Neighborhood,Mac DeMarco
Indie,Chamber of Reflection,Mac DeMarco
Rap,RAP DEVIL,Machine Gun Kelly
Pop,Baby,Madison Beer
Pop,Memories,Maroon 5
Musical Theatre,When I Grow Up,Matilda
Indie,Fade Into You ,Mazzy Star
Rap,Glow Up,Meek Mill
Rap,Captain Hook,Megan Thee Stallion 
Rap,Savage,Megan Thee Stallion 
Rock,Enter Sandman,Metallica
Rock,Whiskey In the Jar,Metallica
Indie,Time to Pretend,MGMT
Indie,Little Dark Age,MGMT
Rap,Need It,Migos
Jazz,So What,Miles Davis
Jazz,Birdland,Miles Davis
Pop,Prisoner,Miley Cyrus
Pop,Midnight Sky,Miley Cyrus
Musical Theatre,Bui Doi,Miss Saigon
Indie,Me and My Husband,Mitski
Indie,Strawberry Blond,Mitski
Indie,Nobody,Mitski
Indie,Washing Machine Heart,Mitski
Indie,Francis Forever,Mitski
Indie,Your Best American Girl,Mitski
Indie,Float On ,Modest Mouse
Rap,Said Sum,Moneybagg Yo
Rock,Ace of Spades,Motorhead
Rock,Uprising,Muse
Indie,When You Sleep,My Bloody Valentine
Emo,Welcome to the Black Parade,My Chemical Romance
Musical Theatre,I Could Have Danced All Night,My Fair Lady
Rap,Champion ,"NAV, Travis Scott"
Rap,Friends & Family ,"NAV, Travis Scott"
Indie,In the Aeroplane Over the Sea,Neutral Milk Hotel
Emo,Savin' Me,Nickelback
Indie,Wonderwall,Oasis
Indie,Little Talks,Of Monsters and Men
Rock,Crazy Train,Ozzy Osbourne
Indie,Savior Complex,Phoebe Bridgers
Indie,Kyoto,Phoebe Bridgers
Indie,Garden Song,Phoebe Bridgers
Indie,Moon Song,Phoebe Bridgers
Indie,I Know The End,Phoebe Bridgers
Indie,Punisher,Phoebe Bridgers
Indie,Motion Sickness,Phoebe Bridgers
Indie,Where Is My Mind?,Pixies
Rap,Magnolia,Playboi Carti
Rap,@ MEH,Playboi Carti
Rap,For The Night,"Pop Smoke, Lil Baby, DaBaby"
Rap,For The Night,"Pop Smoke, Lil Baby, DaBaby"
Rap,War ,"Pop Smoke, Lil Tjay"
Musical Theatre,Summertime,Porgy and Bess
Rap,Wow.,Post Malone
Rap,Better Now,Post Malone
Emo,Make Me Wanna Die,Pretty Reckless
Emo,Just Tonight,Pretty Reckless
Rap,Blood on the Hills,"Pyrex, Southside, 808 MAFIA"
Emo,Losing My Religion,R.E.M
Indie,Creep,Radiohead
Indie,Paranoid Android,Radiohead
Indie,No Surprises,Radiohead
Emo,Creep,Radiohead
Rock,Californiacation,Red Hot Chili Peppers
Rock,Give It Away,Red Hot Chili Peppers
Musical Theatre,Seasons of Love,Rent
Musical Theatre,La Vie Beheme,Rent
Indie,Best Friend,Rex Orange County
Indie,Sunflower,Rex Orange County
Indie,Loving Is Easy,Rex Orange County
Pop,Put Your Records On,Ritt Momney
Rap,The Box,Roddy Ricch
Rock,Tom Sawyer,Rush
Pop,Diamonds,Sam Smith
Pop,Tap In,Saweetie
Pop,Back to the Streets,Saweetie
Rap,LIVING LEGEND,Scarlxrd
Emo,Second Chance,Shinedown
Emo,I'm Just a Kid,Simple Plan
Rock,18 and Life,Skid Row
Rock,Plush,Stone Temple Pilots
Indie,Mystery of Love,Sufjan Stevens
Indie,Visions of Gideon,Sufjan Stevens
Indie,Should Have Known Better,Sufjan Stevens
Indie,The Only Thing,Sufjan Stevens
Indie,Chicago,Sufjan Stevens
Indie,My Jinji,Sunset Rollercoaster
Rap,Just Woke Up,"Supreme Patty, YNW Melly"
Indie,Die Young,Sylvan Esso 
Pop,Hit Different,SZA
Indie,Lost In Yesterday,Tame Impala
Indie,Let It Happen,Tame Impala
Indie,Feels Like We Only Go Backwards,Tame Impala
Pop,you broke me first,Tate McRae
Pop,willow,Taylor Swift
Pop,champagne problems,Taylor Swift
Pop,gold rush,Taylor Swift
Pop,tis the damn season,Taylor Swift
Pop,tolerate it,Taylor Swift
Pop,"no body, no crime",Taylor Swift
Pop,happiness,Taylor Swift
Pop,dorothea,Taylor Swift
Pop,coney island,Taylor Swift
Pop,ivy,Taylor Swift
Pop,cowboy like me,Taylor Swift
Pop,long story short,Taylor Swift
Pop,marjorie,Taylor Swift
Pop,closure,Taylor Swift
Pop,evermore,Taylor Swift
Pop,the 1,Taylor Swift
Pop,cardigan,Taylor Swift
Pop,the last great america,Taylor Swift
Pop,exile,Taylor Swift
Pop,my tears ricochet,Taylor Swift
Pop,mirrorball,Taylor Swift
Pop,seven,Taylor Swift
Pop,august,Taylor Swift
Pop,this is me trying,Taylor Swift
Pop,illicit affairs,Taylor Swift
Pop,invisible string,Taylor Swift
Pop,mad woman,Taylor Swift
Pop,epiphany,Taylor Swift
Pop,betty,Taylor Swift
Pop,peace,Taylor Swift
Pop,hoax,Taylor Swift
Musical Theatre,I'm Here,The Colour Purple
Emo,How to Save a Life,The Fray
Musical Theatre,This Is Me,The Greatest Showman
Rap,Diva ft. Lil Tecca,The Kid LAROI
Rap,Always Do,The Kid LAROI
Musical Theatre,All I Ask of You,The Phantom Of the Opera
Indie,This Charming Man,The Smiths
Indie,"Please, Please, Please, Let Me Get What I Want",The Smiths
Indie,There Is a Light That Never Goes Out,The Smiths
Indie,You Only Live Once,The Strokes
Pop,Blinding Lights,The Weeknd
Pop,Starboy,The Weeknd
Pop,In You Eyes,The Weeknd
Indie,Seven Nation Army,The White Stripes
Rock,Won't Get Fooled Again,The Who
Jazz,My Favorite Things,Thelonious Monk
Emo,Jumper,Third Eye Blind
Rap,ASTROTHUNDER,Travis Scott
Rap,SICKO MODE,Travis Scott
Rap,Butterfly Effect,Travis Scott
Rap,Antidote,Travis Scott
Rap,Franchise,Travis Scott
Rap,WAKE UP,Travis Scott
Rap,Death,"Trippie Redd, DaBaby"
Emo,Guns for Hands,Twenty One Pilots
Rap,Danger,Twista
Rock,I Wanna Rock,Twisted Sister
Pop,EARFQUAKE,"Tyler, The Creator"
Pop,See You Again,"Tyler, The Creator"
Pop,BEST INTEREST,"Tyler, The Creator"
Pop,"GONE, GONE / THANK YOU","Tyler, The Creator"
Pop,Potato Salad,"Tyler, The Creator"
Indie,A-Punk,Vampire Weekend
Indie,Campus,Vampire Weekend
Rock,Runnin' with the Devil,Van Halen
Indie,"So Sad, So Sad",Varsity
Emo,The Freshmen,Verve Pipe
Musical Theatre,Le Jazz Hot,Victor/Victoria
Indie,Are You Bored Yet?,Wallows
Indie,OK,Wallows
Jazz,The Girl From Ipanema,Weather Report
Rock,Here I Go Again,Whitesnake
Musical Theatre,Defying Gravity,Wicked
Rap,Ever Seen A Demon,Wififuneral
Rap,Look At Me!,XXXTENTACION
Rap,Best Friend,Young Thug
Rap,Surf,"Young Thug, Gunna"
Rap,Hot (remix),"Young Thug, Gunna, Travis Scott"
Rap,pick up the phone,"Young Thug, Travis Scott"
Indie,Cool,Zack Villere
Indie,Bloo,Zack Villere
Indie,Sand People,Zack Villere
Pop,WOW,Zara Larsson